video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=za46cSfmRw8&pp=ygUHc2VhdHRsZQ%3D%3D,/@komonews,KOMO News,Seattle mayor faces scrutiny over controversial social media post with anti-ICE imagery,9.6K,1 day,Seattle Mayor Katie Wilson's office said Monday it's not commenting after questions surfaced about a post on the Mayor's official X ...,2026-01-14 21:52:19.734421
/shorts/44HUiqAKvdY,/@george_pnw,George M,trying the USA’s MOST VIRAL ice cream in Seattle 🤯🙈,2.1M,3 months,"part 1: viral food of seattle ⤵️ + follow @george.pnw for more in / near seattle ‼️   + follow @living.inseattle, @thiccc.eats and ...",2026-01-14 21:52:19.738953
/watch?v=q-EFJU5Ojr4&pp=ygUHc2VhdHRsZQ%3D%3D,/@HoodVlogs,HoodVlogs,"Welcome to Seattle: Central District, 44 Holly St, ""The Ville"", Aurora St, West Seattle",480K,2 years,00:00 Seattle's most notorious hoods 00:36 The Southend ft ​⁠​⁠@tudamusic 03:59 Seattle's most dangerous corner 05:29 ...,2026-01-14 21:52:19.746547
/watch?v=sO5-oFuDPEA&pp=ygUHc2VhdHRsZQ%3D%3D,/@ThroughMyLens,Through My Lens,"22 Things to Do in Seattle, Washington",1.7M,7 years,"Seattle is a fun city to visit in the Pacific Northwest and it is full of amazing adventures, shopping, and restaurants. I have been ...",2026-01-14 21:52:19.755759
/shorts/pXmmJNOXhA4,/@TheIcedCoffeeHour,The Iced Coffee Hour,How Jeff Bezos DESTROYED Seattle,5.1M,10 months,Full Vid: https://youtu.be/J-Naa36SfhU NEW: Join us at http://www.icedcoffeehour.club for premium content - Enjoy! Add us on ...,2026-01-14 21:52:19.758070
/watch?v=KsNxFH0B0BI&pp=ygUHc2VhdHRsZQ%3D%3D,/@HPWalkingTours,HP Walking Tours,Seattle 4K Walking Tour - Captions & Immersive Sound [4K Ultra HD/60fps],213K,3 years,"Visit Seattle on this 4K walking tour. Best with headphones for an immersive experience. ⬇ LINKS (map, etc.) ⬇ Google ...",2026-01-14 21:52:19.763731
/watch?v=GFR7yKtVrB0&pp=ygUHc2VhdHRsZQ%3D%3D,/@fox13seattle,FOX 13 Seattle,One-on-one with Seattle Mayor Katie Wilson | FOX 13 Seattle,8.3K,8 days,"In her first week as Seattle mayor, Katie Wilson pushed back on claims of changes to drug enforcement policy, saying no shifts ...",2026-01-14 21:52:19.771153
/watch?v=OjSbzmftVpA&pp=ygUHc2VhdHRsZdIHCQlNCgGHKiGM7w%3D%3D,/@rinahra,Rin Ahra,"THINGS TO KNOW BEFORE MOVING TO SEATTLE *brutally honest* | good, bad, and ugly | seattle fashion",127K,3 years,biggest takeaway is that there are literally no bugs in seattle tbh thanks for watching ✨ Restricted Parking Zone Information: ...,2026-01-14 21:52:19.774700
/watch?v=XJ-OBdUcJAs&pp=ygUHc2VhdHRsZQ%3D%3D,/@Jaycation,Jaycation,What's SEATTLE Washington Like in 2025?,38K,3 months,"Top Things To Do in Seattle Washington in 2025 We visit Seattle, Washington and check out all the fun touristy things to do in ...",2026-01-14 21:52:19.781751
/watch?v=XoeD0O92L04&pp=ygUHc2VhdHRsZQ%3D%3D,/@IslandHopperTV,Island Hopper TV,Seattle Washington Travel Guide: Best Things To Do in Seattle,259K,4 years,"This is a Seattle Washington travel guide from the summer. In this Seattle tour we show you around Pike Place Market, King Street ...",2026-01-14 21:52:19.786291
/watch?v=lbrsePtzNe0&pp=ygUHc2VhdHRsZQ%3D%3D,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,Why Are People STILL Moving To Seattle?,12K,8 months,"Is moving to Seattle something in your plans in the near future? In this video, I am going over the top 5 reasons why all of my ...",2026-01-14 21:52:19.789952
/watch?v=GB_8NQjDhUc&pp=ygUHc2VhdHRsZdIHCQlNCgGHKiGM7w%3D%3D,/@MichaelInTheCity,Michael In The City,How to spend the PERFECT weekend in SEATTLE,205K,4 years,"There are so many ways to spend a weekend in Seattle. With a city full of natural connections, great food, and cultural treasures, ...",2026-01-14 21:52:19.796045
/watch?v=noVRL1x7JJM&pp=ygUHc2VhdHRsZdIHCQlNCgGHKiGM7w%3D%3D,/@adventuresofjandk,Adventures of J & K,"48 Hours in Seattle, Washington: Best Things to Do!",75K,1 year,Join this channel to get access to perks: https://www.youtube.com/channel/UCAqsw4hdIq0GeJ-_Q5F1dmg/join Welcome to ...,2026-01-14 21:52:19.798654
/watch?v=Iv1yr1zu0xQ&pp=ygUHc2VhdHRsZQ%3D%3D,/@DanielsimsSteiner,Daniel Steiner,"Seattle's Map, Explained",678K,1 year,Go to https://ground.news/danielsteiner to become a smarter news consumer and better understand the world. Subscribe through ...,2026-01-14 21:52:19.804834
/watch?v=gBVsK6uOObE&pp=ygUHc2VhdHRsZQ%3D%3D,/@woltersworld,Wolters World,Visit Seattle - 5 Things You Will LOVE and HATE about Seattle Washington,257K,7 years,GRAB A WOLTERS WORLD SHIRT http://www.woltersworld.com/shop Support Us: https://www.patreon.com/woltersworld Seattle ...,2026-01-14 21:52:19.811692
/watch?v=QVi775nK4K0&pp=ygUHc2VhdHRsZQ%3D%3D,/@ahomeinSeattle,a home in Seattle,why i live in seattle,30K,2 years,"If you are thinking about making a home in Seattle, shoot me a message at alexanderkeyes@ahomeinseattle.com, make an ...",2026-01-14 21:52:19.813752
/watch?v=lpvu7K35w4s&pp=ygUHc2VhdHRsZQ%3D%3D,/@FakeFoodShow,The Fake Food Show!,Seattle’s Chinatown is Dying… (The Endangered Chinatown International District),46K,1 month,Seattle's Chinatown is Dying… (The Endangered Chinatown International District) | Warning: This video touches on some heavy ...,2026-01-14 21:52:28.630552
/shorts/f9SHyRpmPxc,/@G0ldf13h,G0ldf13h,Best Indian restaurant in Seattle you’ve never heard of of…,435K,3 months,"I was so surprised there wasn't more people eating here - its so good! Authentic Indian flavors, big serving sizes, and a nice space ...",2026-01-14 21:52:28.635942
/watch?v=NnrVSgNKius&pp=ygUHc2VhdHRsZdIHCQlNCgGHKiGM7w%3D%3D,/@AdventuresofMattandNat,Adventures of Matt and Nat,"How to Spend One Day in Seattle, Washington | Top Things to Do, See, & Eat in the “Emerald City”!",105K,1 year,Start fresh any day of the year with our sponsor BetterHelp. Click https://betterhelp.com/mattandnat for a discount on your first ...,2026-01-14 21:52:28.638287
/watch?v=xlMyxABVHo4&pp=ygUHc2VhdHRsZQ%3D%3D,/@SeahawksTV,Seahawks Today by Chat Sports,"Seattle Seahawks vs. San Francisco 49ers: Injury Report, Matchups & Score Prediction | NFL Playoffs",4.1K,22 hours,Seahawks vs. 49ers early week preview is here ahead of their matchup in the 2026 NFL Playoffs. Seattle Seahawks injury news ...,2026-01-14 21:52:28.639556
/watch?v=sO2mbINU44M&pp=ygUHc2VhdHRsZQ%3D%3D,/@AntonTheKicker,AntonTheKicker,How Seattle Beat the Odds and Became a Megacity,17K,1 year,Affiliate: Get Exclusive NordVPN deal here - https://nordvpn.com/AntonTheKicker It's risk-free with Nord's 30-day money-back ...,2026-01-14 21:52:28.642994
/watch?v=24BKBJMSwLQ&pp=ygUHc2VhdHRsZQ%3D%3D,/@GarethLeonard,Gareth Leonard,Trying 7 Iconic SEATTLE Street Foods in 24 Hours!,69K,4 months,Thanks to GoDaddy for sponsoring this video! Head to https://godaddy.yt.link/YGSCwuG to get started with GoDaddy Airo® today.,2026-01-14 21:52:28.648762
/watch?v=-lYjyqIsEr4&pp=ygUHc2VhdHRsZQ%3D%3D,/@ReasonableNews,News For Reasonable People,Socialist Mayor DESTROYS Seattle's Epic Views Park With Failed Drug Policies,18K,1 month,"Here we go again - Seattle's stunning Dr. Jose Rizal Park, with epic views of downtown and the stadiums, has been completely ...",2026-01-14 21:52:28.652472
/watch?v=LqqgB4Sm0s4&pp=ygUHc2VhdHRsZQ%3D%3D,/@ProFootballFocus,Pro Football Focus,San Francisco 49ers vs. Seattle Seahawks Preview & Prediction | PFF,5.7K,3 hours,PFF's Dalton Wasserman and Trevor Sikkema preview the matchup between The San Francisco 49ers and The Seattle Seahawks ...,2026-01-14 21:52:28.656019
/watch?v=qWFoaxU5Yoc&pp=ygUHc2VhdHRsZQ%3D%3D,/@komonews,KOMO News,FULL INTERVIEW: Newly elected Seattle mayor Katie Wilson talks her priorities for the city,3.1K,6 days,Newly elected Seattle Mayor Katie Wilson spoke with KOMO News' Chris Daniels about her priorities for the city. Listen to the ...,2026-01-14 21:52:28.657593
/watch?v=TXMcCKq9Vo8&pp=ygUHc2VhdHRsZQ%3D%3D,/@SeattleChannel21,Seattle Channel,Seattle: A History in Short Stories (1909 to 1962),351K,4 months,It's a story of innovation and survival…15000 years in the making! Sit back and discover the history of our amazing region.,2026-01-14 21:52:28.658777
/shorts/1PeOqKojPFg,/@tans.pantry,Tan’s Pantry,"the toughest pastry to get in seattle 📍saint bread | seattle, wa #seattlefoodie #seattlefood",17K,21 hours,This is the hardest croissant to get in Seattle so I ran to St bread at 7:30 a.m to see if it's worth the hype i ordered the Cardaman ...,2026-01-14 21:52:28.660832
/watch?v=_vWW7bHWiA0&pp=ygUHc2VhdHRsZdIHCQlNCgGHKiGM7w%3D%3D,/@CityNerd,Ray Delahanty | CityNerd,How Seattle Is Becoming an Urbanism Juggernaut (Maybe in Spite of Itself),363K,2 years,"Sound Transit Link's Northgate Station, opened in 2021, is now the system's busiest -- but it still isn't anywhere near meeting its ...",2026-01-14 21:52:28.661967
/watch?v=EiN0GTHPUq0&pp=ygUHc2VhdHRsZQ%3D%3D,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,2025 Pros and Cons of Living In Seattle,26K,1 year,"In this video, I am going over some of the top pros and cons of living in the Seattle area. If you're thinking of moving to Seattle, ...",2026-01-14 21:52:37.288303
/watch?v=4c-gS4vHsqo&pp=ygUHc2VhdHRsZdIHCQlNCgGHKiGM7w%3D%3D,/@unDividedwithBrandiKruse,unDivided with Brandi Kruse,Seattle's new socialist mayor promises to raise taxes,122K,1 month,"To pay for a long wish list of ""free"" things, Seattle Mayor-elect Katie Wilson says she will propose new taxes. Follow unDivided ...",2026-01-14 21:52:37.289749
/watch?v=a4PqfWQRDgc&pp=ygUHc2VhdHRsZQ%3D%3D,/@heyitstiffanychen,Tiffany Chen,"Seattle Vlog | Fremont Sunday Market, SLU, Weekend Hikes, Busy Photoshoot Days, Cooking Yakisoba",2.6K,3 weeks,"This week's vlog is super fun because I'm showing you a cozy chill Sunday in Seattle. From Sunday markets, and plant shopping ...",2026-01-14 21:52:37.291771
/shorts/6FZ-kp_3RLs,/@moreperfectunion,More Perfect Union,BREAKING: Seattle just elected a socialist mayor,255K,2 months,"The national media has barely covered it, but there's another mayoral race you should be paying attention to today. Transit Riders ...",2026-01-14 21:52:37.296670
/watch?v=aIr_IXXLZ8Q&list=RDaIr_IXXLZ8Q&start_radio=1&pp=ygUHc2VhdHRsZaAHAdIHCQlNCgGHKiGM7w%3D%3D,/channel/UCFMZHIQMgBXTSxsr86Caazw,Nirvana,"Nirvana - Aneurysm (Live At The Paramount, Seattle / 1991)",19M,6 years,"Music video by Nirvana performing Aneurysm (Live At The Paramount, Seattle / 1991). © 2011 UMG Recordings, Inc.",2026-01-14 21:52:37.298080
/watch?v=8ijA2dv5Bss&pp=ygUHc2VhdHRsZdIHCQlNCgGHKiGM7w%3D%3D,/@BrandonBuckingham,Brandon Buckingham,Life on 3rd and Pike | Inside Seattle’s Drug Epidemic,3.2M,1 year,Brandon Buckingham visits 3rd and pike in Seattle Washington to experience the ongoing drug epidemic Episode 148 of The ...,2026-01-14 21:52:37.300042
/watch?v=qwGuzr7_kkU&pp=ygUHc2VhdHRsZQ%3D%3D,/@MattWalsh,Matt Walsh,What On Earth Happened To Seattle?,169K,7 days,LeafHome - Schedule your free inspection at https://leaffilter.com/WALSH The city of Seattle decides to stop putting drug users in ...,2026-01-14 21:52:37.301495
/watch?v=ggC5N6GnqFg&pp=ygUHc2VhdHRsZQ%3D%3D,/@GreenerGrass,Jeb Brooks,2 DAYS on Amtrak Coast Starlight Train from LA to Seattle,3.1M,3 years,Watch this video to see what it's like to travel on Amtrak's Coast Starlight train along the West Coast of the United States from Los ...,2026-01-14 21:52:37.303507
/shorts/T8-vi2KhykM,/@george_pnw,George M,the best Indian food in seattle!? 🤯🇮🇳,928K,2 months,"PART 1: Best Seattle Food! ⤵️ + follow @george.pnw for more in / near seattle ‼️   + follow @living.inseattle, @thiccc.eats and ...",2026-01-14 21:52:37.306080
/watch?v=jzxDbjrd6S0&pp=ygUHc2VhdHRsZdIHCQlNCgGHKiGM7w%3D%3D,/@SeattleSports710,Seattle Sports,Seahawks vs 49ers: Where Seattle Has Advantages w/ @hawkblogger Brian Nemhauser | #SeattleSports,31K,2 days,Brock Huard & Mike Salk (Brock & Salk) are joined by Brian Nemhauser (@hawkblogger - hawkblogger.com) to get an early look ...,2026-01-14 21:52:37.307995
/watch?v=uJwU3kvxV8A&pp=ygUHc2VhdHRsZQ%3D%3D,/@TransitTangents,Transit Tangents,Seattle Keeps Extending It's Light Rail! (BRT is next),26K,4 weeks,"Seattle has been quietly building light rail extensions like crazy over the last few years, and this month, one of them just opened ...",2026-01-14 21:52:37.309929
/watch?v=noVRL1x7JJM&pp=ygUHc2VhdHRsZQ%3D%3D,/@adventuresofjandk,Adventures of J & K,"48 Hours in Seattle, Washington: Best Things to Do!",75K,1 year,Join this channel to get access to perks: https://www.youtube.com/channel/UCAqsw4hdIq0GeJ-_Q5F1dmg/join Welcome to ...,2026-01-14 21:52:37.311609
/watch?v=lGsbqOX3b4Q&pp=ygUHc2VhdHRsZQ%3D%3D,/@Relaxing.Scenes.Driving,Relaxing Scenes - Driving,Road Trip USA Part 13 - Driving Seattle 8K Dolby Vision HDR - Washington State,160K,1 year,"Enjoy this 2.5 hour driving tour through the vibrant streets of Seattle, starting in the bustling downtown area and making our way to ...",2026-01-14 21:52:37.313502
/shorts/mD06KdfTRYE,/@george_pnw,George M,Seattle Washington’s best kept secret 💀🤯,28K,3 months,Did you know there's a secret city beneath seattle? + follow @george.pnw for more in / near seattle ‼️ + follow ...,2026-01-14 21:52:37.314843
/watch?v=KozmFCLHAO8&pp=ygUHc2VhdHRsZQ%3D%3D,/@christineleeee,Christine Le,"2 weeks in seattle: everything I ate, vintage shopping + a floating sauna experience 🧖🏼‍♀️☕️",19K,9 days,Brandon and I returned to Seattle for the holidays and running our first ever marathon! We tried so many new restaurants and had ...,2026-01-14 21:52:37.316359
/watch?v=fctiyXb_zaM&pp=ygUHc2VhdHRsZQ%3D%3D,/@fox13seattle,FOX 13 Seattle,Meet the man who named the Seattle Seahawks | FOX 13 Seattle,3K,20 hours,"Seattle left it up to the fans to name their new NFL team, and in 1975, Tom Barnum became part of history. Watch FOX 13 Seattle ...",2026-01-14 21:52:37.317601
/watch?v=-zNdFHU0MtY&pp=ygUHc2VhdHRsZQ%3D%3D,/@heyitstiffanychen,Tiffany Chen,"Seattle Vlog | Holiday Markets, Christmas Decor, Exploring Pioneer Square & Downtown Seattle",7.4K,1 month,This week's vlog is extra special because it's my first holiday season living in Seattle — and I'm exploring all things holiday-related ...,2026-01-14 21:52:37.319504
